CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,CVE_SUN,NOM_SUN,POB_2018
1,Aguascalientes,1007,Rincón de Romos,10070133,Cerro del Gato [Colonia],C01.01,Rincón de Romos,0
1,Aguascalientes,1007,Rincón de Romos,10070419,Lázaro Cárdenas [Fraccionamiento],C01.01,Rincón de Romos,0
7,Chiapas,7034,Frontera Comalapa,70340137,La Lima,C07.02,Frontera Comalapa,0
7,Chiapas,7034,Frontera Comalapa,70340396,Benito Juárez,C07.02,Frontera Comalapa,0
7,Chiapas,7034,Frontera Comalapa,70340436,Barrio Nuevo,C07.02,Frontera Comalapa,0
7,Chiapas,7040,Huixtla,70400004,Aquiles Serdán,C07.04,Huixtla,0
7,Chiapas,7068,Pichucalco,70680086,Napana,C07.05,Pichucalco,0
7,Chiapas,7078,San Cristóbal de las Casas,70780172,Molino los Arcos,C07.06,San Cristóbal de las Casas,0
7,Chiapas,7078,San Cristóbal de las Casas,70780174,Las Peras,C07.06,San Cristóbal de las Casas,0
7,Chiapas,7078,San Cristóbal de las Casas,70780194,Monte de los Olivos,C07.06,San Cristóbal de las Casas,0
7,Chiapas,7094,Teopisca,70940115,El Porvenir,C07.07,Teopisca,0
7,Chiapas,7102,Tuxtla Chico,71020072,15 de Abril,C07.01,Cacahoatán,0
7,Chiapas,7103,Tuzantán,71030041,Veintinueve de Diciembre,C07.04,Huixtla,0
7,Chiapas,7103,Tuzantán,71030178,Jubileo Dos Mil,C07.04,Huixtla,0
7,Chiapas,7103,Tuzantán,71030185,San Miguel,C07.04,Huixtla,0
7,Chiapas,7103,Tuzantán,71030210,Los Rosales,C07.04,Huixtla,0
7,Chiapas,7103,Tuzantán,71030214,Tercer Cantón la Curva,C07.04,Huixtla,0
7,Chiapas,7109,Yajalón,71090296,Barranca Nabil,C07.08,Yajalón,0
11,Guanajuato,11001,Abasolo,110010174,Tamazula,C11.01,Abasolo,0
11,Guanajuato,11001,Abasolo,110010586,Colonia Solidaridad (Colonia Morelos),C11.01,Abasolo,0
11,Guanajuato,11003,San Miguel de Allende,110030574,Francisco Villa [Fraccionamiento],C11.02,San Miguel de Allende,0
11,Guanajuato,11003,San Miguel de Allende,110030583,Miguel Hidalgo,C11.02,San Miguel de Allende,0
11,Guanajuato,11003,San Miguel de Allende,110030590,Insurgentes,C11.02,San Miguel de Allende,0
11,Guanajuato,11003,San Miguel de Allende,110030792,Montes de Loreto,C11.02,San Miguel de Allende,0
11,Guanajuato,11003,San Miguel de Allende,110030846,Santa Cecilia,C11.02,San Miguel de Allende,0
11,Guanajuato,11003,San Miguel de Allende,110030943,La Lomita,C11.02,San Miguel de Allende,0
11,Guanajuato,11014,Dolores Hidalgo Cuna de la Independencia Nacional,110140813,San Diego del Llanito,C11.04,Dolores Hidalgo,0
11,Guanajuato,11017,Irapuato,110170064,La Candelaria (El Rodete),C11.05,Irapuato,0
11,Guanajuato,11017,Irapuato,110170459,Colonia Plan Vivirá,C11.05,Irapuato,0
11,Guanajuato,11017,Irapuato,110170466,Las Malvas (El Resbalón),C11.05,Irapuato,0
11,Guanajuato,11017,Irapuato,110170819,Fraccionamiento las Huertas,C11.05,Irapuato,0
11,Guanajuato,11017,Irapuato,110170863,Fraccionamiento las Liebres,C11.05,Irapuato,0
11,Guanajuato,11017,Irapuato,110170867,Las Huertas Tercera Sección,C11.05,Irapuato,0
11,Guanajuato,11027,Salamanca,110270089,La Luz (La Cal),C11.06,Salamanca,0
11,Guanajuato,11027,Salamanca,110270362,El Pitahayo,C11.06,Salamanca,0
11,Guanajuato,11032,San José Iturbide,110320254,El Pinito,C11.08,San José Iturbide,0
11,Guanajuato,11033,San Luis de la Paz,110330565,Colonia Benito Juárez,C11.09,San Luis de la Paz,0
11,Guanajuato,11035,Santa Cruz de Juventino Rosas,110350184,Juan Mendoza Rangel (Ejidal Zúñiga),C11.10,Juventino Rosas,0
12,Guerrero,12035,Iguala de la Independencia,120350161,Colonia Vista Hermosa,C12.02,Iguala de la Independencia,0
12,Guerrero,12035,Iguala de la Independencia,120350176,El Mezquite,C12.02,Iguala de la Independencia,0
12,Guerrero,12050,Pungarabato,120500014,Santa Bárbara,C12.03,Ciudad Altamirano-Riva Palacio,0
12,Guerrero,12050,Pungarabato,120500020,Santa Bárbara [Unidad Habitacional],C12.03,Ciudad Altamirano-Riva Palacio,0
12,Guerrero,12066,Tlapa de Comonfort,120660005,Atlamajac,C12.05,Tlapa de Comonfort,0
12,Guerrero,12066,Tlapa de Comonfort,120660073,Colonia Constitución,C12.05,Tlapa de Comonfort,0
12,Guerrero,12066,Tlapa de Comonfort,120660089,Ninguno [Unidad Habitacional],C12.05,Tlapa de Comonfort,0
12,Guerrero,12066,Tlapa de Comonfort,120660092,Colonia Monte Sinaí,C12.05,Tlapa de Comonfort,0
13,Hidalgo,13008,Apan,130080200,San José el Mirador,C13.02,Apan,0
13,Hidalgo,13008,Apan,130080233,Ampliación Loma Bonita,C13.02,Apan,0
13,Hidalgo,13028,Huejutla de Reyes,130280026,Coco Chico,C13.03,Huejutla de Reyes,0
13,Hidalgo,13028,Huejutla de Reyes,130280027,Coco Grande,C13.03,Huejutla de Reyes,0
13,Hidalgo,13028,Huejutla de Reyes,130280093,Tepexititla,C13.03,Huejutla de Reyes,0
13,Hidalgo,13028,Huejutla de Reyes,130280134,Zapotitla,C13.03,Huejutla de Reyes,0
13,Hidalgo,13028,Huejutla de Reyes,130280191,La Curva Tlaltzintla,C13.03,Huejutla de Reyes,0
13,Hidalgo,13028,Huejutla de Reyes,130280210,Palzoquiapa,C13.03,Huejutla de Reyes,0
13,Hidalgo,13028,Huejutla de Reyes,130280262,La Curva Tlaltzintla II,C13.03,Huejutla de Reyes,0
13,Hidalgo,13063,Tepeji del Río de Ocampo,130630053,Unidad Obrera Habitacional CTM,C13.07,Tepeji de Ocampo,0
13,Hidalgo,13067,Tezontepec de Aldama,130670018,San Isidro Presas,C13.09,Tezontepec de Aldama,0
13,Hidalgo,13067,Tezontepec de Aldama,130670020,La Loma,C13.09,Tezontepec de Aldama,0
13,Hidalgo,13072,Tlanalapa,130720010,San Vicente,C13.06,Ciudad Sahagún-Tepeapulco,0
14,Jalisco,14085,Tamazula de Gordiano,140850156,Soyatlán de Afuera,C14.05,Tamazula de Gordiano,0
15,México,15026,Chapa de Mota,150260024,Santa Elena,C15.02,San Felipe Coamango-San Juan Tuxtepec,0
15,México,15042,Ixtlahuaca,150420066,Ejido de la Concepción de los Baños Primero,C15.04,Los Baños,0
15,México,15074,San Felipe del Progreso,150740037,Guadalupe Coté,C15.06,San Nicolás Guadalupe,0
15,México,15074,San Felipe del Progreso,150740281,Barrio el Rincón Santa Ana Nichi Ejido,C15.06,San Nicolás Guadalupe,0
15,México,15074,San Felipe del Progreso,150740290,"Barrio las Palomas, San Miguel la Labor",C15.06,San Nicolás Guadalupe,0
15,México,15082,Tejupilco,150820138,Rincón de Aguirre,C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820147,Rincón de Ugarte,C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820206,Rincón de Jaimes,C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820540,El Capire (Colonia el Capire),C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820543,Juntas de Zacatepec (El Pedregal Segunda Manzana),C15.07,Tejupilco de Hidalgo,0
15,México,15082,Tejupilco,150820564,Colonia Buenavista Primera Sección,C15.07,Tejupilco de Hidalgo,0
15,México,15085,Temascalcingo,150850020,Puruahua,C15.08,Temascalcingo de José María Velasco,0
15,México,15088,Tenancingo,150880006,Chalchihuapan,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880010,Ejido de Tenería (El Llano),C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880015,Pueblo Nuevo,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880020,San Juan Tetitlán,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880037,Rinconada de Santa Teresa,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880039,Rinconada de Atotonilco,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880067,La Ocotalera,C15.09,Tenancingo de Degollado,0
15,México,15088,Tenancingo,150880068,Barrio Santa Teresa,C15.09,Tenancingo de Degollado,0
15,México,15110,Valle de Bravo,151100055,Casas Viejas,C15.10,Valle de Bravo,0
15,México,15110,Valle de Bravo,151100098,Barrio de Guadalupe,C15.10,Valle de Bravo,0
16,Michoacán de Ocampo,16034,Hidalgo,160340066,Llano del Ejido (El Mirador),C16.01,Ciudad Hidalgo,0
16,Michoacán de Ocampo,16045,Jiquilpan,160450051,Niños Héroes,C16.06,Sahuayo de Morelos,0
16,Michoacán de Ocampo,16066,Pátzcuaro,160660061,Joya de los Molinos,C16.04,Pátzcuaro,0
16,Michoacán de Ocampo,16066,Pátzcuaro,160660099,Fraccionamiento el Mirador,C16.04,Pátzcuaro,0
16,Michoacán de Ocampo,16076,Sahuayo,160760033,Colonia Independencia (Coyacho),C16.02,Jiquilpan de Juárez,0
